Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
3/24/17,Power Rangers,"$120,000,000 ","$85,364,450 ","$142,534,143 "
,,,,
7/19/02,Stuart Little 2,"$120,000,000 ","$64,956,806 ","$166,000,000 "
,,,,
2/12/14,RoboCop,"$120,000,000 ","$58,607,007 ","$242,981,799 "
,,,,
6/11/04,The Chronicles of Riddick,"$120,000,000 ","$57,712,751 ","$107,212,751 "
,,,,
8/7/15,Fantastic Four,"$120,000,000 ","$56,117,548 ","$167,977,596 "
,,,,
5/9/08,Speed Racer,"$120,000,000 ","$43,945,766 ","$93,394,462 "
,,,,
7/22/05,The Island,"$120,000,000 ","$35,818,913 ","$163,018,913 "
,,,,
12/17/10,How Do You Know?,"$120,000,000 ","$30,212,620 ","$49,628,177 "
,,,,
6/23/10,Knight and Day,"$117,000,000 ","$76,423,035 ","$258,751,370 "
,,,,
5/19/99,Star Wars Ep. I: The Phantom Menace,"$115,000,000 ","$474,544,677 ","$1,027,044,677 "
,,,,
5/19/05,Star Wars Ep. III: Revenge of the Sith,"$115,000,000 ","$380,270,577 ","$848,998,877 "
,,,,
5/16/02,Star Wars Ep. II: Attack of the Clones,"$115,000,000 ","$310,676,740 ","$656,695,615 "
,,,,
11/2/01,"Monsters, Inc.","$115,000,000 ","$289,423,425 ","$559,757,719 "
,,,,
7/26/13,The Wolverine,"$115,000,000 ","$132,556,852 ","$416,456,852 "
,,,,
2/7/97,Dante's Peak,"$115,000,000 ","$67,163,857 ","$178,200,000 "
,,,,
4/22/16,The Huntsman: Winter’s War,"$115,000,000 ","$48,003,015 ","$165,149,302 "
,,,,
6/14/02,Windtalkers,"$115,000,000 ","$40,914,068 ","$77,628,265 "
,,,,
7/4/08,Astérix aux Jeux Olympiques,"$113,500,000 ","$999,811 ","$132,999,811 "
,,,,
12/25/10,Gulliver's Travels,"$112,000,000 ","$42,779,261 ","$232,017,848 "
,,,,
12/15/17,Ferdinand,"$111,000,000 ","$84,410,380 ","$289,867,087 "
,,,,
5/18/18,Deadpool 2,"$110,000,000 ","$318,491,426 ","$733,809,601 "
,,,,
10/4/13,Gravity,"$110,000,000 ","$274,092,705 ","$693,698,673 "
,,,,
12/22/06,Night at the Museum,"$110,000,000 ","$250,863,268 ","$579,446,407 "
,,,,
6/10/05,Mr. and Mrs. Smith,"$110,000,000 ","$186,336,279 ","$486,124,090 "
,,,,
5/29/15,San Andreas,"$110,000,000 ","$155,190,832 ","$457,199,280 "
,,,,
7/29/11,The Smurfs,"$110,000,000 ","$142,614,158 ","$563,749,323 "
,,,,
6/27/07,Live Free or Die Hard,"$110,000,000 ","$134,529,403 ","$382,288,147 "
,,,,
3/20/15,The Divergent Series: Insurgent,"$110,000,000 ","$130,179,072 ","$295,075,882 "
,,,,
12/10/04,Ocean's Twelve,"$110,000,000 ","$125,531,634 ","$362,989,076 "
,,,,
12/19/97,Tomorrow Never Dies,"$110,000,000 ","$125,304,276 ","$339,504,276 "
,,,,
6/28/00,The Patriot,"$110,000,000 ","$113,330,342 ","$215,300,000 "
,,,,
3/7/14,300: Rise of an Empire,"$110,000,000 ","$106,580,051 ","$330,780,051 "
,,,,
12/17/04,The Aviator,"$110,000,000 ","$102,608,827 ","$208,370,892 "
,,,,
12/21/16,Passengers,"$110,000,000 ","$100,014,699 ","$302,239,672 "
,,,,
1/14/11,The Green Hornet,"$110,000,000 ","$98,780,042 ","$229,155,503 "
,,,,
9/30/16,Miss Peregrine’s Home for Peculiar Children,"$110,000,000 ","$87,242,834 ","$296,642,834 "
,,,,
10/7/11,Real Steel,"$110,000,000 ","$85,463,309 ","$263,880,341 "
,,,,
6/11/10,The A-Team,"$110,000,000 ","$77,222,099 ","$177,241,171 "
,,,,
7/31/13,The Smurfs 2,"$110,000,000 ","$71,017,784 ","$348,547,523 "
,,,,
3/18/16,The Divergent Series: Allegiant,"$110,000,000 ","$66,184,051 ","$171,871,661 "
,,,,
6/12/09,The Taking of Pelham 123,"$110,000,000 ","$65,452,312 ","$152,364,370 "
,,,,
11/1/13,Ender's Game,"$110,000,000 ","$61,737,191 ","$127,983,283 "
,,,,
4/2/04,Home on the Range,"$110,000,000 ","$50,026,353 ","$76,482,461 "
,,,,
6/13/97,Speed 2: Cruise Control,"$110,000,000 ","$48,097,081 ","$150,468,000 "
,,,,
5/6/05,Kingdom of Heaven,"$110,000,000 ","$47,398,413 ","$218,853,353 "
,,,,
3/31/17,Ghost in the Shell,"$110,000,000 ","$40,563,557 ","$167,918,847 "
,,,,
6/16/04,Around the World in 80 Days,"$110,000,000 ","$24,004,159 ","$72,004,159 "
,,,,
12/19/01,The Lord of the Rings: The Fellowship of the Ring,"$109,000,000 ","$315,544,750 ","$887,210,985 "
,,,,
11/21/03,The Cat in the Hat,"$109,000,000 ","$101,018,283 ","$133,818,283 "
,,,,
12/25/01,Ali,"$109,000,000 ","$58,183,966 ","$87,683,966 "
,,,,
10/2/15,The Martian,"$108,000,000 ","$228,433,663 ","$656,385,923 "
,,,,
11/23/16,Allied,"$106,000,000 ","$40,098,064 ","$119,280,834 "
,,,,
7/16/04,"I, Robot","$105,000,000 ","$144,801,023 ","$348,629,585 "
,,,,
12/17/99,Stuart Little,"$105,000,000 ","$140,015,224 ","$298,815,224 "
,,,,
11/25/09,The Princess and the Frog,"$105,000,000 ","$104,400,899 ","$270,997,378 "
,,,,
3/7/08,"10,000 B.C.","$105,000,000 ","$94,784,201 ","$269,065,678 "
,,,,
7/22/16,Ice Age: Collision Course,"$105,000,000 ","$64,063,008 ","$402,540,223 "
,,,,
4/27/01,Town & Country,"$105,000,000 ","$6,712,451 ","$10,364,769 "
,,,,
9/22/17,Kingsman: The Golden Circle,"$104,000,000 ","$100,234,838 ","$408,822,328 "
,,,,
6/9/00,Gone in 60 Seconds,"$103,300,000 ","$101,643,008 ","$232,643,008 "
,,,,
5/5/00,Gladiator,"$103,000,000 ","$187,683,805 ","$457,683,805 "
,,,,
5/23/13,The Hangover 3,"$103,000,000 ","$112,200,072 ","$362,000,072 "
,,,,
3/9/18,A Wrinkle in Time,"$103,000,000 ","$100,478,608 ","$133,401,882 "
,,,,
7/1/09,Public Enemies,"$102,500,000 ","$97,104,620 ","$212,282,709 "
,,,,
11/17/06,Casino Royale,"$102,000,000 ","$167,365,000 ","$594,420,283 "
,,,,
6/21/02,Minority Report,"$102,000,000 ","$132,024,714 ","$358,824,714 "
,,,,
10/26/12,Cloud Atlas,"$102,000,000 ","$27,108,272 ","$130,673,154 "
,,,,
11/15/02,Harry Potter and the Chamber of Secrets,"$100,000,000 ","$261,987,880 ","$878,979,634 "
,,,,
7/2/91,Terminator 2: Judgment Day,"$100,000,000 ","$203,464,105 ","$515,419,827 "
,,,,
10/5/18,Venom,"$100,000,000 ","$192,788,348 ","$514,330,356 "
,,,,
6/16/95,Batman Forever,"$100,000,000 ","$184,031,112 ","$336,529,144 "
,,,,
7/27/01,Planet of the Apes,"$100,000,000 ","$180,011,740 ","$362,211,740 "
,,,,
11/19/04,National Treasure,"$100,000,000 ","$173,005,002 ","$331,323,410 "
,,,,
12/25/12,Django Unchained,"$100,000,000 ","$162,805,434 ","$449,948,323 "
,,,,
12/22/10,Little Fockers,"$100,000,000 ","$148,438,600 ","$310,650,574 "
,,,,
7/15/94,True Lies,"$100,000,000 ","$146,282,411 ","$365,300,000 "
,,,,
11/2/07,American Gangster,"$100,000,000 ","$130,164,645 ","$267,985,456 "
,,,,
9/18/09,Cloudy with a Chance of Meatballs,"$100,000,000 ","$124,870,275 ","$236,827,677 "
,,,,
8/6/10,The Other Guys,"$100,000,000 ","$119,219,978 ","$170,936,470 "
,,,,
12/17/04,Lemony Snicket's A Series of Unfortunate Events,"$100,000,000 ","$118,627,117 ","$212,956,024 "
,,,,
12/25/13,The Wolf of Wall Street,"$100,000,000 ","$116,900,694 ","$389,870,414 "
,,,,
5/24/13,Epic,"$100,000,000 ","$107,518,682 ","$262,794,441 "
,,,,
6/21/96,Eraser,"$100,000,000 ","$101,295,562 ","$234,400,000 "
,,,,
6/21/96,The Hunchback of Notre Dame,"$100,000,000 ","$100,138,851 ","$325,500,000 "
,,,,
12/15/00,The Emperor's New Groove,"$100,000,000 ","$89,296,573 ","$169,296,573 "
,,,,
8/17/12,The Expendables 2,"$100,000,000 ","$85,028,192 ","$311,979,256 "
,,,,
10/16/09,Where the Wild Things Are,"$100,000,000 ","$77,233,467 ","$99,123,656 "
,,,,
12/15/06,Eragon,"$100,000,000 ","$75,030,163 ","$249,488,115 "
,,,,
7/25/14,Hercules,"$100,000,000 ","$72,688,614 ","$243,388,614 "
,,,,
12/10/10,The Tourist,"$100,000,000 ","$67,631,157 ","$278,731,369 "
,,,,
11/24/99,End of Days,"$100,000,000 ","$66,889,043 ","$212,026,975 "
,,,,
6/11/04,The Stepford Wives,"$100,000,000 ","$59,475,623 ","$96,221,971 "
,,,,
6/8/07,Surf's Up,"$100,000,000 ","$58,867,694 ","$145,395,745 "
,,,,
12/8/06,Blood Diamond,"$100,000,000 ","$57,377,916 ","$171,377,916 "
,,,,
9/24/10,Legend of the Guardians: The Owls of Ga'Hoole,"$100,000,000 ","$55,675,313 ","$139,716,717 "
,,,,
11/7/97,Starship Troopers,"$100,000,000 ","$54,768,952 ","$121,100,000 "
,,,,
6/5/09,Land of the Lost,"$100,000,000 ","$49,438,370 ","$69,548,641 "
,,,,
12/25/03,Peter Pan,"$100,000,000 ","$48,417,850 ","$95,255,485 "
,,,,
7/23/04,Catwoman,"$100,000,000 ","$40,202,379 ","$82,145,379 "
,,,,
8/15/14,The Expendables 3,"$100,000,000 ","$39,322,544 ","$209,461,378 "
,,,,
11/27/02,Treasure Planet,"$100,000,000 ","$38,120,554 ","$91,800,000 "
,,,,
3/12/10,Green Zone,"$100,000,000 ","$35,497,337 ","$97,523,020 "
,,,,
10/20/17,Geostorm,"$100,000,000 ","$33,700,160 ","$220,800,160 "
,,,,
12/25/15,Point Break,"$100,000,000 ","$28,782,481 ","$126,702,848 "
,,,,
12/11/15,In the Heart of the Sea,"$100,000,000 ","$25,020,758 ","$89,693,309 "
,,,,
4/18/14,Transcendence,"$100,000,000 ","$23,022,309 ","$103,039,258 "
,,,,
2/18/05,Son of the Mask,"$100,000,000 ","$17,018,422 ","$59,918,422 "
,,,,
8/16/02,The Adventures of Pluto Nash,"$100,000,000 ","$4,411,102 ","$7,094,995 "
,,,,
1/20/12,Jin líng shí san chai,"$100,000,000 ","$311,434 ","$98,227,017 "
,,,,
3/15/19,Wonder Park,"$100,000,000 ",$0 ,$0 
,,,,
11/6/15,The Peanuts Movie,"$99,000,000 ","$130,178,411 ","$250,091,610 "
,,,,
5/4/01,The Mummy Returns,"$98,000,000 ","$202,007,640 ","$435,040,395 "
,,,,
12/20/02,Gangs of New York,"$97,000,000 ","$77,730,500 ","$183,124,621 "
,,,,
5/19/17,Alien: Covenant,"$97,000,000 ","$74,262,031 ","$238,521,247 "
,,,,
3/13/15,Cinderella,"$95,000,000 ","$201,151,353 ","$534,551,353 "
,,,,
7/13/12,Ice Age: Continental Drift,"$95,000,000 ","$161,321,843 ","$879,765,137 "
,,,,
12/28/01,Black Hawk Down,"$95,000,000 ","$108,638,745 ","$159,691,085 "
,,,,
5/27/10,Sex and the City 2,"$95,000,000 ","$95,347,692 ","$294,680,778 "
,,,,
2/12/10,Percy Jackson & the Olympians: The Lightning Thief,"$95,000,000 ","$88,768,303 ","$223,050,874 "
